Country,latitude,longitude,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_millin,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index
South Sudan,6.877,31.307,3047,0,5,60,0,0.143,272.206,0,0.447,5.36,0,0.013,,,,,,,,,,55258,381,4.937,0.034,551,0.049,0.009,110.2,50.93
Spain,40.463667,-3.74922,1582616,25886,12250.286,43131,512,268.286,33849.286,553.655,262.011,922.494,10.951,5.738,,2922,62.496,17695,378.464,,,,,,,,,138327,2.959,0.089,11.3,71.3
Sri Lanka,7.873054,80.771797,20508,337,404.857,90,3,4.143,957.725,15.738,18.907,4.203,0.14,0.193,,,,,,,,,,755105,7467,35.263,0.349,10609,0.495,0.038,26.2,49.54
Sudan,12.8628,30.2176,16052,0,189.143,1197,0,11.143,366.072,0,4.313,27.298,0,0.254,,,,,,,,,,,,,,,,,,28.7
Suriname,3.9193,-56.0278,5297,1,3.143,116,0,0.143,9029.48,1.705,5.357,197.738,0,0.244,,,,,,,,,,,,,,,,,,60.19
Sweden,60.1282,18.6435,208295,0,4420,6406,0,34.571,20624.758,0,437.655,634.303,0,3.423,,,,,,,,,,,40350,,3.995,38564,3.818,0.115,8.7,50
Switzerland,46.8182,8.2275,300352,9751,4339.714,4222,166,98,34704.247,1126.682,501.433,487.832,19.181,11.323,,,,,,,,,,2603780,26399,300.854,3.05,22673,2.62,0.191,5.2,49.07
Syria,34.802075,38.996815,7295,70,76.571,380,4,4.286,416.841,4,4.375,21.713,0.229,0.245,,,,,,,,,,,,,,,,,,54.17
Taiwan*,23.7,121,618,1,2.143,7,0,0,25.948,0.042,0.09,0.294,0,0,,,,,,,,,,107892,341,4.53,0.014,258,0.011,0.008,120.4,23.15
Tajikistan,38.861034,71.276093,11932,38,40.429,86,0,0.143,1251.043,3.984,4.239,9.017,0,0.015,,,,,,,,,,,,,,,,,,37.04
Thailand,15.870032,100.992541,3922,2,6.286,60,0,0,56.189,0.029,0.09,0.86,0,0,,,,,,,,,,,,,,,,,,50
Timor-Leste,-8.874217,125.727539,30,0,0,,0,0,22.754,0,0,,0,0,,,,,,,,,,,,,,,,,,27.78
Togo,8.6195,0.8248,2854,11,23,64,0,0.429,344.739,1.329,2.778,7.731,0,0.052,,,,,,,,,,143489,604,17.332,0.073,991,0.12,0.023,43.1,49.07
